Al,V,Cr,Fe,Co,Ni,System_Type_Input,System_Size,System_Type,Solidification Range (K),PROP RT Density (g/cm3),PROP RT Heat Cap (J/(mol K)),PROP RT Therm Cond (W/(mK)),Sconf,Yield Strength (MPa),C_11_Avg,Predicted SFE,PROP 700C VOL EXPCF (1/K)
0.25,0.0,0.1,0.1,0.1,0.45,0.07017543859649122,5,4,118.9597019351891,7.217715017241177,25.77427015057765,32.94975847012964,1.396677581476184,3560.120584222644,0.5212618320028916,397.2109672265894,1.426108793208286e-05
0.1,0.4,0.15,0.0,0.25,0.1,0.1052631578947368,5,6,153.3914712964499,6.990217556632433,26.02684251178289,16.01425202568286,1.458174899361326,4855.226469575342,0.2954997670763708,91.53630059269591,3.78093330128796e-05
0.1,0.2,0.1,0.05,0.45,0.1,0.01754385964912281,6,1,43.01152994258996,7.477670213609708,26.3337671640329,15.51943248880931,1.521778187360731,4467.6659249382,0.4946901800312994,85.5878512387862,3.963621046772331e-05
0.4,0.35,0.0,0.1,0.05,0.1,0.05263157894736842,5,3,95.14144686473082,5.412712762559843,24.57252329622861,17.23682327922902,1.344257668600708,3814.139733263919,0.1607019705781474,-253.8178028641872,5.561316287197265e-05
0.3,0.05,0.3,0.05,0.05,0.25,0.01754385964912281,6,1,26.40651446489096,6.434007850895403,25.99619019747479,44.51894336769882,1.518317113908633,3642.497125938062,0.3108221065344421,-70.20371019422134,3.93974362988887e-05
0.05,0.2,0.1,0.45,0.05,0.15,0.01754385964912281,6,1,39.54452447756603,7.500475170666642,24.97709653471248,8.613049774589843,1.495615780172503,3948.00700973206,0.07342282176634811,109.0017301801212,2.574513063482177e-05
0.6,0.15,0.0,0.05,0.15,0.05,0.05263157894736842,5,3,248.539700818641,4.589631677758444,24.52460412314394,9.293342251742258,1.175204597080758,3190.309510905433,0.285220222882981,-327.0408943786476,4.125745179299933e-05
0.35,0.1,0.0,0.1,0.3,0.15,0.05263157894736842,5,3,89.12017481324415,6.533510778659849,26.30709251388907,24.36245108329753,1.473714601204009,4169.772531076705,0.4549296789059241,0.537295156233081,3.693573315330816e-05
0.0,0.1,0.05,0.65,0.0,0.2,0.2280701754385965,4,13,10.09672881187907,7.894302950568767,24.92102239284577,28.00587374434071,0.9819416009240194,2415.269169783802,0.03114092300863203,-82.32604571357543,4.128257796412957e-05
0.3,0.1,0.15,0.25,0.2,0.0,0.1228070175438596,5,7,11.07235865294001,6.423380555559002,24.70926846581278,28.79457711999657,1.54447952109686,3149.937233822238,0.1859159469015561,-53.68141949650527,4.440366575938715e-05
0.05,0.4,0.25,0.15,0.05,0.1,0.01754385964912281,6,1,103.4491367977032,6.956180880586047,25.07816748948244,12.94787165402793,1.52748961741732,4116.119966895674,0.06624653619737797,114.5777589210789,3.429310978229909e-05
0.2,0.05,0.0,0.35,0.4,0.0,0.2105263157894737,4,12,37.0666916497878,7.255594422688812,26.5588084475894,19.93165248498281,1.205628232488719,2663.311925737443,0.3381695731621393,428.0240104493146,4.687555445947306e-05
0.05,0.1,0.2,0.4,0.15,0.1,0.01754385964912281,6,1,35.33954595237105,7.660640363224991,25.35295197048981,16.87974363924191,1.583275505245873,3050.606224424955,0.1424703261596826,13.22052402626933,3.347130031412725e-05
0.05,0.25,0.05,0.2,0.05,0.4,0.01754385964912281,6,1,54.34895736157614,7.618185519480897,25.67638911568793,10.94131229556352,1.484337306549553,5114.683761677364,0.3401091098024015,292.8821035040343,3.931225516981843e-05
0.45,0.05,0.35,0.05,0.05,0.05,0.01754385964912281,6,1,241.4111040698799,5.491102153702421,24.16116758467979,5.772856839476256,1.325912661583333,1695.644568847825,0.1659387195068553,-303.1652103851134,5.21592831842677e-05
0.1,0.15,0.55,0.1,0.05,0.05,0.01754385964912281,6,1,125.2427414617171,6.876045674532921,24.11860265601717,37.13347115472254,1.373468594102681,2262.622374384053,0.06663444352543045,8.077547786831715,3.540204263311502e-05
0.0,0.45,0.05,0.4,0.05,0.05,0.08771929824561403,5,5,69.89794845257302,7.214605263507439,24.78782622711151,4.471227787781796,1.175204597080758,4719.06257089747,-0.04236751565730557,-6.133937437526503,3.283451388444983e-05
0.0,0.0,0.2,0.35,0.4,0.05,0.1929824561403509,4,11,4.813362272944914,8.096280291132562,26.95254117679724,37.09115383956463,1.205628232488719,1122.003029331442,0.3420486464426637,-245.2036380284758,4.900834334173935e-05
0.0,0.05,0.25,0.25,0.15,0.3,0.08771929824561403,5,5,9.51079327511502,8.031010866450899,25.7819850485248,32.27990038675398,1.488693633268308,2862.114357914171,0.3436002757548735,-38.122765367992,4.721092025942952e-05
0.0,0.4,0.15,0.1,0.1,0.25,0.08771929824561403,5,5,123.5657682083729,7.38391212072781,24.5581170420337,11.11312383536232,1.458174899361326,5430.925805885296,0.2460415827496845,226.5175932955166,3.475356896016353e-05
0.05,0.3,0.05,0.2,0.35,0.05,0.01754385964912281,6,1,39.58926749410602,7.432007273375851,26.02121884774533,10.18227939663,1.499877008392237,4734.735624603109,0.3055853576057342,136.5253678539447,3.914602969656153e-05
0.15,0.45,0.0,0.05,0.25,0.1,0.05263157894736842,5,3,116.5424153538529,7.03855947464822,27.68148110772017,9.543086311495758,1.370515174287956,5225.547425823843,0.2925904621159774,106.3367152356431,3.828868133275588e-05
0.25,0.0,0.2,0.3,0.05,0.2,0.07017543859649122,5,4,26.33238354180708,6.782286830362601,29.93130237882724,39.06045448228429,1.501327210229093,2954.760499120272,0.2119057378810696,264.7806748789037,2.892551288599037e-05
0.5,0.05,0.1,0.05,0.05,0.25,0.01754385964912281,6,1,196.0690225510491,5.726032010743841,24.5348479875247,9.822571092381764,1.372765530892448,3905.455670989333,0.3565951712446302,-303.9951830515344,5.723175226626493e-05
0.05,0.25,0.5,0.05,0.05,0.1,0.01754385964912281,6,1,157.5119258762111,7.026099913397359,24.79174990912725,32.2494132276903,1.372765530892448,3080.338244908373,0.0998005200739141,23.60847557079867,3.615898585762896e-05
0.6,0.05,0.1,0.1,0.15,0.0,0.1228070175438596,5,7,299.1812463759638,4.599654587380475,24.46994313504547,8.340649060266683,1.201367004268985,2360.926487367442,0.2406108801569503,-327.0216403801614,3.764641585610697e-05
0.1,0.55,0.1,0.2,0.0,0.05,0.03508771929824561,5,2,39.26353559393692,6.446405900621128,24.71449423319428,16.21332879748727,1.26100156517892,3700.053936657167,-0.03848844237678119,152.2997402958749,4.284754743654274e-05
0.05,0.0,0.1,0.05,0.7,0.1,0.07017543859649122,5,4,3.892236875474055,8.340769701528355,25.72165930359916,49.0129171037899,1.009762706711321,1241.545849142053,0.7392657503683634,-142.1640949665238,4.784163132556751e-05
0.1,0.05,0.3,0.1,0.15,0.3,0.01754385964912281,6,1,27.58946721547704,7.588310154195359,25.16760657454142,34.15307645032821,1.617255312604952,3583.496743348376,0.394997996721822,82.52508806979925,3.939995733683426e-05
0.1,0.0,0.1,0.7,0.05,0.05,0.07017543859649122,5,4,10.54805244581894,7.437264541321649,25.39571409397468,31.60060369060141,1.009762706711321,1165.372007417851,-0.03286378612002078,195.34947473111,4.42155888271612e-05
0.0,0.25,0.35,0.0,0.3,0.1,0.3333333333333333,4,19,114.5346421159779,7.487427000973322,24.34940206239844,23.36410066076025,1.305461684451695,4314.934700184509,0.3344844535456411,103.0531063791622,4.098810435541265e-05
0.1,0.05,0.75,0.1,0.0,0.0,0.2982456140350877,4,17,31.3925017183642,6.768232713975452,23.88646370309289,45.76785144351575,0.8260651866153443,159.4122012863476,-0.01579586368571337,-189.8192324463803,3.996884220294164e-05
0.15,0.0,0.3,0.0,0.3,0.25,0.3684210526315789,4,21,11.63272867957789,7.487169940337544,27.0389653815073,12.41305374086995,1.353525270608416,3251.601347875904,0.5274683492517305,60.68538270243871,4.500720749758131e-05
0.15,0.1,0.2,0.05,0.3,0.2,0.01754385964912281,6,1,43.86189425004704,7.356834460153427,26.55166498516337,25.02555228207498,1.669580126981407,3979.747990664887,0.4634636401230777,116.4964618550838,4.012168435029317e-05
0.2,0.6,0.0,0.05,0.05,0.1,0.05263157894736842,5,3,104.7183276273431,6.011077800787883,25.00856864935486,24.10146490727281,1.158214693401218,3962.407812312742,0.1001884274019666,85.1890381311831,4.419914021398714e-05
0.25,0.25,0.05,0.05,0.35,0.05,0.01754385964912281,6,1,85.24559600906105,6.715193567963076,29.00948189198971,15.8683348373351,1.509944765167581,4545.042599205769,0.3847184525284322,-10.40882650126935,4.02413916692057e-05
0.0,0.05,0.1,0.2,0.05,0.6,0.08771929824561403,5,5,2.99364609816098,8.3198430953321,25.37703261441493,26.95146825688101,1.158214693401218,2415.269169783801,0.5272743955877044,60.69206920997382,4.428133761009135e-05
0.05,0.0,0.05,0.45,0.15,0.3,0.07017543859649122,5,4,14.31664133387994,8.060227399441779,26.07356452972454,30.29863304137993,1.304661529684059,953.4659878506975,0.3218774653839367,207.5817132317638,4.127031329665476e-05
0.15,0.05,0.05,0.0,0.4,0.35,0.1052631578947368,5,6,19.17708384426919,7.734503591725527,27.48982512639486,24.06704833200144,1.31809526141248,3376.248408878109,0.7068754884759846,192.6112265464867,1.638141781366612e-05
0.1,0.0,0.35,0.3,0.15,0.1,0.07017543859649122,5,4,63.86056717778615,7.478763320447118,25.41168280004058,43.2080670803085,1.473714601204009,2330.942283539791,0.1826187346131103,14.35598450593316,2.233706932534224e-05
0.05,0.0,0.0,0.45,0.35,0.15,0.1754385964912281,4,10,12.30518861240603,8.197578134988067,27.05393841097248,19.0322872604028,1.161120818283116,133.49854742377,0.3767663523033571,229.5786842267877,3.992063575755162e-05
0.3,0.1,0.05,0.45,0.1,0.0,0.1228070175438596,5,7,47.3725570676761,6.373152387466245,24.94743693387136,18.42983178861314,1.330823936872287,3058.227670945829,0.05325164070762116,67.82130890694664,4.709112312350124e-05
0.0,0.05,0.25,0.1,0.15,0.45,0.08771929824561403,5,5,7.376696161514928,8.175111823523169,24.9701872407968,10.63186257973528,1.370515174287956,3198.810825587773,0.5065213535368988,14.59297003880527,4.881306036543696e-05
0.1,0.45,0.05,0.05,0.1,0.25,0.01754385964912281,6,1,140.7952616635589,6.967870154603598,26.17641738470411,9.570312472045318,1.465992299532178,5605.518099166128,0.2735830030414078,229.9888355913665,3.590365416249662e-05
0.0,0.1,0.05,0.35,0.2,0.3,0.08771929824561403,5,5,10.48929020826313,8.135156929521129,26.46675015785149,18.22755464502112,1.430562290336242,2772.091046143677,0.3670686691020461,-8.776124721185186,4.4008743702237e-05
0.35,0.1,0.2,0.05,0.25,0.05,0.01754385964912281,6,1,24.56425096468797,6.205640931351302,24.47085257881554,28.76038429358264,1.565730652996134,3405.106543737895,0.3275021216406971,-202.7801332604138,4.21528393463459e-05
0.9,0.0,0.0,0.1,0.0,0.0,0.8947368421052632,2,51,368.3236704045078,3.424871619029422,24.302918358444,112.7729787908295,0.3250829733914482,229.7220641204177,0.1721452367556944,-328.3813308579356,0.0001024300982424
0.2,0.0,0.0,0.6,0.1,0.1,0.1754385964912281,4,10,17.42006469881198,7.110575918117781,26.08426265214803,28.19788247846823,1.088899975345224,1809.161974872877,0.1011581957220977,757.1379979754672,3.849346273249043e-05
0.15,0.4,0.1,0.25,0.05,0.05,0.01754385964912281,6,1,47.70069986403018,6.542424315023705,24.62836743143271,13.69275083483117,1.52748961741732,4066.29081011762,0.02532231308784541,123.2105486639361,4.100956309614135e-05
0.05,0.15,0.15,0.15,0.25,0.25,0.01754385964912281,6,1,37.01693211508814,7.768663001763799,25.75611998327076,19.47691003173918,1.696637787436291,4121.239683881123,0.4141994094604177,84.852785392848,4.26722398019552e-05
0.15,0.15,0.2,0.2,0.25,0.05,0.01754385964912281,6,1,48.69688095631295,7.0964095694781,26.12868727010209,20.37020992281089,1.709271364397076,3684.505682710024,0.2483690267179991,76.23223334068304,3.636065080644138e-05
0.25,0.05,0.3,0.1,0.3,0.0,0.1228070175438596,5,7,6.641731798664978,6.740187505366748,24.70547255143174,36.28607747662387,1.449002395852638,2881.76956070364,0.3024820989813146,-119.3958325568914,4.108387284923713e-05
0.3,0.1,0.1,0.15,0.1,0.25,0.01754385964912281,6,1,78.93002217914,6.577577568658109,27.62476235511713,24.79702926465556,1.683108957208849,4163.402843751755,0.3342904998816149,89.53337920096038,3.255071221315829e-05
0.35,0.0,0.05,0.15,0.2,0.25,0.07017543859649122,5,4,89.43512643437089,6.714050470533381,28.39264967042254,32.68722335750436,1.470253527751912,3502.547790826853,0.4500808373052685,103.119841084493,1.513362330871629e-05
0.05,0.1,0.35,0.05,0.45,0.0,0.1228070175438596,5,7,47.100758843829,7.584084270738366,24.81604939930548,24.90693168630746,1.256597943527338,3282.570229636935,0.4033380042749494,-67.10395468480596,4.25303616394824e-05
